pmid,title,abstract,journal,publicationDate,doi,firstAuthor,lastAuthor,authorAffiliations,meshTags,keywords
40312813,Effect of the Comprehensive Addiction and Recovery Act (CARA) on Buprenorphine Prescribing for Opioid Use Disorder among Medicare Beneficiaries with Back Pain.,"Observational cohort study. To examine the effects of the Comprehensive Addition and Recovery Act (CARA) on buprenorphine prescribing and opioid use disorder (OUD) among Medicare beneficiaries with back pain. Enacted in January 2017, CARA extended buprenorphine prescribing authority to Nurse Practitioners (NP) and Physician Assistants (PA) to treat OUD, defined as a physical or psychological dependence on opioids, but adoption varied by state. Leveraging this policy variation, we examined the effect of CARA on buprenorphine prescribing and OUD employing Medicare beneficiaries over age 65 with back pain from 2016 to 2019, and who were eligible for Part D prescription drug benefits. Only buprenorphine and buprenorphine/naloxone combinations that are FDA-approved for OUD treatment were included as our outcome. A difference-in-difference regression examined the change in buprenorphine prescribing and OUD before and after CARA between states that did and did not expand prescription authority. Subgroup analysis examined treatment effect heterogeneity by gender and race/ethnicity. States that adopted a full scope-of-practice under CARA had a significant increase in buprenorphine prescribing (6.5%, 95%CI: 1.3%, 12.2%) and a reduction in OUD (7.2%, 95%CI: -9.3%, -4.8%) compared to states that did not expand prescribing authority after the policy implementation. States that expanded prescribing authority following CARA had a disproportionate increase in use of buprenorphine and a reduction in OUD among males and Hispanic patients compared to female and White patients. The magnitude of the policy effects increased over time across all groups. CARA was associated with increased buprenorphine prescribing and a reduction in OUD among older adults with back pain. Expanded authorization of prescription of buprenorphine to treat OUD by NPs/PAs in states that have not adopted full scope-of-practice under CARA might effectively reduce OUD, as well as racial/ethnic disparities in buprenorphine prescribing and OUD. Level 3.",Spine,2025-05-01,10.1097/BRS.0000000000005243,Hyunkyu Ko,Brook I Martin,"Department of Orthopaedics, School of Medicine, University of Utah.; Department of Physical Therapy, College of Health, University of Utah.; Department of Orthopaedics, School of Medicine, University of Utah.; Department of Orthopaedics, School of Medicine, University of Utah.; Department of Orthopaedics, School of Medicine, University of Utah.",N/A,"Buprenorphine, Gender and Racial Disparities in OUD, Medicare, Medication for Opioid Use Disorder (MOUD), Opioid Use Disorder (OUD), The Comprehensive Addiction and Recovery Act (CARA)"
40312832,"Mediation of chronic pain and disability on opioid use disorder risk by pain management practices among adult Medicaid patients, 2016-2019.","We estimated the extent to which different pain management practices, considered together as well as individually, mediated the relationship between chronic pain or physical disability and new-onset opioid use disorder (OUD) in a large cohort of adult Medicaid patients. Considering the plausibility of the assumptions required to identify different mediational estimands, we estimated natural indirect effects when considering mediation through the group of mediators together and estimated interventional indirect effects when considering mediation through each pain management practice individually. We estimated each effect using a nonparametric one-step estimator. The pain management variables we examined mediated all of the total effect of chronic pain on OUD risk and nearly half of the total effect of physical disability on OUD risk. High-dose, long-duration opioid prescribing and co-prescription of opioids with benzodiazepines, gabapentinoids, and muscle relaxants each contributed substantially to the increased risk of OUD due to chronic pain (contributing to 10-37% of the overall effect) and more moderately to the increased risk of OUD due to physical disability (contributing to 3-19% of the overall effect). Antidepressant or anti-inflammatory prescribing and physical therapy generally did not contribute to increased OUD risk, and, in some cases, even contributed to small reductions in risk.",American journal of epidemiology,2025-05-01,10.1093/aje/kwaf093,Kara E Rudolph,Y Nina Gao,"Department of Epidemiology, Mailman School of Public Health, Columbia University.; Department of Epidemiology, Mailman School of Public Health, Columbia University.; Department of Epidemiology, Mailman School of Public Health, Columbia University.; Department of Epidemiology, Mailman School of Public Health, Columbia University.; Department of Epidemiology, Mailman School of Public Health, Columbia University.; Department of Epidemiology, Mailman School of Public Health, Columbia University.; Department of Epidemiology, Mailman School of Public Health, Columbia University.; Division of Biostatistics, Grossman School of Medicine, New York University.; Department of Anesthesiology, Perioperative Care and Pain Medicine, New York University Grossman School of Medicine, New York University.; Department of Anesthesiology, Perioperative Care and Pain Medicine, New York University Grossman School of Medicine, New York University.; Center for Pharmacoepidemiology and Treatment Science, Rutgers Institute for Health, Rutgers University; Rutgers School of Public Health, Rutgers University.; Department of Psychiatry, Vagelos College of Physicians and Surgeons, Columbia University; New York State Psychiatric Institute; Department of Epidemiology, Mailman School of Public Health, Columbia University.; Center for Health Services Research, Rutgers Institute for Health, Rutgers University; School of Social Work, Rutgers University.; Center for Opioid Epidemiology and Policy, Department of Population Health, Grossman School of Medicine, New York University.; Department of Psychiatry, Vagelos College of Physicians and Surgeons, Columbia University; New York State Psychiatric Institute.",N/A,"Chronic pain, causal mediation, mediation, opioid use disorder, overdose, pain management, physical disability"
40319407,Are Preoperative Corticosteroid Injections in Large or Intermediate Joints Associated with Surgical Site Infection After Soft Tissue Hand Surgery? A Retrospective Database Analysis.,"In this study, we asked the following question: Is intra-articular corticosteroid injection at a distant site prior to hand surgery associated with an increased risk of (1) surgical site infection, (2) reoperation for infection, or (3) wound dehiscence? Using a national administrative claims database, we identified adult patients undergoing carpal tunnel, trigger finger, or DeQuervain release. Patients were divided into four cohorts: intra-articular corticosteroid injection between 0 and 30, 31 and 60, or 61 and 90 days before surgery or no injection within 90 days prior to surgery. Large and intermediate joints were considered. We measured surgical site infection incidence, reoperation, and wound dehiscence within 90 days after surgery. We created multivariable logistic regression models to evaluate the association between preoperative corticosteroid injection and each outcome, adjusting for age, sex, region, insurance plan, Elixhauser comorbidities, and history of tobacco use. Receiving a large-joint corticosteroid injection between 0 and 30, 31 and 60, or 61 and 90 days before surgery was not associated with surgical site infection or reoperation. Receiving a large-joint corticosteroid injection between 0 and 30 days before surgery was associated with a slightly higher incidence of wound dehiscence compared to no injection (0.5% vs 0.4%). Receiving an intermediate-joint corticosteroid injection between 0 and 30, 31 and 60, or 61 and 90 days before surgery was not associated with the incidence of surgical site infection, reoperation, or wound dehiscence. In patients with diabetes, receiving a corticosteroid injection within 90 days before surgery in a large or intermediate joint was not associated with an increased risk of surgical site infection, reoperation, or wound dehiscence. Corticosteroid injections into large- and intermediate-sized joints can be safely administered before hand surgery from a surgical site infection perspective, including in patients with diabetes. Prognosis II.",The Journal of hand surgery,2025-07-01,10.1016/j.jhsa.2025.03.020,Thompson Zhuang,Hannah H Lee,"Department of Orthopaedic Surgery, University of Pennsylvania, Philadelphia, PA. Electronic address: thompson.zhuang@pennmedicine.upenn.edu.; Department of Orthopaedic Surgery, University of Pennsylvania, Philadelphia, PA.; Department of Orthopaedic Surgery, University of Pennsylvania, Philadelphia, PA.; Department of Orthopaedic Surgery, University of Pennsylvania, Philadelphia, PA.","Humans, Surgical Wound Infection, Male, Female, Retrospective Studies, Middle Aged, Injections, Intra-Articular, Reoperation, Databases, Factual, Trigger Finger Disorder, Aged, Adult, Carpal Tunnel Syndrome, Surgical Wound Dehiscence, Adrenal Cortex Hormones, Preoperative Care, Incidence","Corticosteroid, glucocorticoid, infection, injection, soft tissue hand surgery"
40319789,Substance-induced mental disorders and discontinuation of medication for opioid use disorder.,"People with opioid use disorder (OUD) often exhibit psychiatric symptoms representing primary (PMD) and substance induced mental disorders (SIMD). PMD are associated with increased discontinuation of medications for OUD (MOUD). It is unknown if this relationship holds for SIMD. To examine the association between SIMD and time to MOUD discontinuation. In this retrospective cohort study using the Merative™ MarketScan® Commercial and Multi-State Medicaid insurance claims Databases (2015-2019), we identified individuals initiating MOUD (buprenorphine, methadone, and extended-release naltrexone) following a 180-day pre-period of continuous enrollment without MOUD. Episodes were classified based on > 1 SIMD diagnosis in this pre-period. We estimated days to MOUD discontinuation using stepwise multivariable Cox regression, adjusting for age, sex, insurance type (Medicaid or Commercial), Charlson Comorbidity Index, MOUD at initiation, co-occurring substance use disorders (SUD), and PMD. Of 31,134 MOUD initiation episodes, 3.5 % exhibited SIMD. Episodes with SIMD demonstrated a higher prevalence (p < .001 for all) of mood and psychotic disorders (42.8 vs 16.4 %; 4.0 % vs 0.7 % respectively) but lower prevalence of anxiety-related disorders (51.3 % vs 59.9 %) relative to episodes without SIMD. Unadjusted models illustrated a 44 % (95 %CI:1.34-1.55) increased hazard of MOUD discontinuation associated with SIMD. After adjusting for all covariates but PMD, SIMD retained a 13 % increased hazard of MOUD discontinuation (95 %CI:1.05-1.21). Adjusting for PMD eliminated this association. SIMD is associated with reduced time to MOUD discontinuation, which may be accounted for by PMD. Further research on SIMD treatment among individuals with OUD is needed to improve OUD treatment outcomes.",Drug and alcohol dependence,2025-07-01,10.1016/j.drugalcdep.2025.112685,Alyssa Shell Tilhou,Kevin Y Xu,"Department of Family Medicine, Dowling Building, Boston Medical Center, 850 Harrison Ave, Boston, MA 02118, USA. Electronic address: alyssa.tilhou@bmc.org.; Advanced Health Data (AHEAD) Institute, Department of Family and Community Medicine, Saint Louis University, 3545 Lafayette Ave., 4th Floor, St. Louis, MO 63104, USA. Electronic address: Richard.grucza@health.slu.edu.; Department of Psychiatry, Washington University School of Medicine, 660 S Euclid Ave, St. Louis, MO 63110, USA. Electronic address: xukeviny@wustl.edu.","Humans, Male, Female, Opioid-Related Disorders, Adult, Retrospective Studies, Mental Disorders, Middle Aged, United States, Opiate Substitution Treatment, Buprenorphine, Methadone, Naltrexone, Medicaid, Young Adult, Narcotic Antagonists","Medication for opioid use disorder, Opioid use disorder, Substance induced mental disorder, Treatment discontinuation, Treatment retention"
40320496,Effect of chemotherapy on cancer specific mortality in female locally advanced urethral cancer.,"To quantify the effect of chemotherapy (CHT) in locally advanced female primary urethral cancer (fPUC). In the Surveillance, Epidemiology and Ends Results (SEER) database (2000-2021), we identified 295 fPUC patients with locally advanced stage treated with local therapy (surgery or radiation or both) with or without CHT. Multivariable Cox regression models addressed cancer specific mortality free survival (CSM). Sample power analyses were computed. Of 295 fPUC patients, 141 (48%) underwent CHT. CHT rates increased from 40 to 61% (Δ22%) over the study span (2000-2021). Five-year CSM rates of CHT exposed vs. CHT-naïve patients were 58 vs. 43% (Δ15%). In multivariable Cox regression models (age and histology adjusted) CHT independently predicted lower CSM (HR = 0.67, p = 0.027). In squamous cell carcinoma (SCC) subgroup, CHT also independently predicted lower CSM (HR = 0.64, p = 0.01). In urothelial carcinoma (HR = 0.63, p = 0.2) and adenocarcinoma (HR = 0.7, p = 0.7) independent predictor status could not be demonstrated. Small sample sizes in urothelial carcinoma subgroup (UC) and adenocarcinoma subgroup (ADK) undermined the power of the analyses to as low as 48% in UC and 46% in ADK, respectively, versus ideal 80% power. In fPUC patients, CHT independently predicts lower CSM. This effect is generalizable to SCC patients. The same relationship between CHT status and CSM is also operational in UC and ADK subgroups, but limited power undermined confirmation of its' statistical significance.",World journal of urology,2025-05-04,10.1007/s00345-025-05545-0,Quynh Chi Le,Pierre I Karakiewicz,"Cancer Prognostics and Health Outcomes Unit, Division of Urology, University of Montréal Health Center, Montréal, Québec, Canada. d.le@med.uni-frankfurt.de.; Department of Urology, Goethe University Frankfurt, University Hospital, Frankfurt am Main, Germany. d.le@med.uni-frankfurt.de.; Cancer Prognostics and Health Outcomes Unit, Division of Urology, University of Montréal Health Center, Montréal, Québec, Canada.; Department of Urology, AOU di Modena, University of Modena and Reggio Emilia, Modena, Italy.; Cancer Prognostics and Health Outcomes Unit, Division of Urology, University of Montréal Health Center, Montréal, Québec, Canada.; Department of Urology, IEO European Institute of Oncology, IRCCS, Via Ripamonti 435, Milan, Italy.; Università degli Studi di Milano, Milan, Italy.; Department of Neurosciences, Science of Reproduction and Odontostomatology, University of Naples Federico II, Naples, Italy.; Cancer Prognostics and Health Outcomes Unit, Division of Urology, University of Montréal Health Center, Montréal, Québec, Canada.; Vita-Salute San Raffaele University, Milan, Italy.; Division of Experimental Oncology, Unit of Urology, URI, Urological Research Institute, IRCCS San Raffaele Scientific Institute, Milan, Italy.; Cancer Prognostics and Health Outcomes Unit, Division of Urology, University of Montréal Health Center, Montréal, Québec, Canada.; Martini-Klinik Prostate Cancer Center, University Hospital Hamburg-Eppendorf, Hamburg, Germany.; Cancer Prognostics and Health Outcomes Unit, Division of Urology, University of Montréal Health Center, Montréal, Québec, Canada.; Department of Urology, University of Bologna, St. Orsola-Malpighi Hospital, Bologna, Italy.; Cancer Prognostics and Health Outcomes Unit, Division of Urology, University of Montréal Health Center, Montréal, Québec, Canada.; Division of Urology, Department of Translational Medicine, University of Eastern Piedmont, Maggiore della Carità Hospital, Novara, Italy.; Division of Urology, Department of Oncology, University of Turin, Orbassano, Italy.; Cancer Prognostics and Health Outcomes Unit, Division of Urology, University of Montréal Health Center, Montréal, Québec, Canada.; Cancer Prognostics and Health Outcomes Unit, Division of Urology, University of Montréal Health Center, Montréal, Québec, Canada.; Department of Urology, Goethe University Frankfurt, University Hospital, Frankfurt am Main, Germany.; Department of Urology, Goethe University Frankfurt, University Hospital, Frankfurt am Main, Germany.; Cancer Prognostics and Health Outcomes Unit, Division of Urology, University of Montréal Health Center, Montréal, Québec, Canada.; Department of Urology, University of Bologna, St. Orsola-Malpighi Hospital, Bologna, Italy.; Department of Urology, AOU di Modena, University of Modena and Reggio Emilia, Modena, Italy.; Department of Urology, AOU di Modena, University of Modena and Reggio Emilia, Modena, Italy.; Department of Urology, IEO European Institute of Oncology, IRCCS, Via Ripamonti 435, Milan, Italy.; Vita-Salute San Raffaele University, Milan, Italy.; Division of Experimental Oncology, Unit of Urology, URI, Urological Research Institute, IRCCS San Raffaele Scientific Institute, Milan, Italy.; Martini-Klinik Prostate Cancer Center, University Hospital Hamburg-Eppendorf, Hamburg, Germany.; Division of Urology, Department of Translational Medicine, University of Eastern Piedmont, Maggiore della Carità Hospital, Novara, Italy.; Division of Urology, Department of Translational Medicine, University of Eastern Piedmont, Maggiore della Carità Hospital, Novara, Italy.; Department of Urology, Goethe University Frankfurt, University Hospital, Frankfurt am Main, Germany.; Department of Urology, Goethe University Frankfurt, University Hospital, Frankfurt am Main, Germany.; Cancer Prognostics and Health Outcomes Unit, Division of Urology, University of Montréal Health Center, Montréal, Québec, Canada.","Humans, Female, Urethral Neoplasms, Middle Aged, Aged, Neoplasm Staging, SEER Program, Survival Rate, Retrospective Studies, Carcinoma, Transitional Cell","Cancer specific mortality, Chemotherapy, Females, Locally advanced urethral cancer"
40324909,Impact of cannabis consumption on perioperative outcomes in patients undergoing hepatobiliary and pancreatic surgery: a nationwide analysis.,"There is paucity of high-quality data on the effect of cannabis consumption on perioperative outcomes after hepatobiliary and pancreatic (HPB) surgery. Data from the Nationwide Inpatient Sample (2016-2020) were used. In-hospital complications, length-of-stay and hospitalisation charges were compared among patients undergoing HPB surgery. We identified 191,315 patients, of which 1705 (0.89 %) were cannabis consumers. Cannabis consumers were more likely to be male (67.5 % vs 50.2 %), younger, and Black (22.6 % vs 11.0); p < 0.001 for all. Multivariate analysis demonstrated a significantly lower risk of pneumonia (OR 0.54, 95 % CI 0.29-0.99) among cannabis consumers. There was no significant difference in risk of in-hospital mortality (OR 0.64, 95 % CI 0.31-1.30), acute kidney injury, hemodialysis, blood transfusion, vasopressor use, invasive and non-invasive mechanical ventilation, venous thromboembolism, portal vein thrombosis, intraabdominal abscess, peritonitis, surgical site infection, post-procedure haemorrhage/hematoma, wound dehiscence, liver failure, or sudden cardiac arrest. There was no significant difference in length-of-stay (mean 10.99 vs 9.69 days; p = 0.348) or hospitalisation costs ($49,444 vs $43,661; p = 0.109). There is no significant difference in major perioperative complications after HPB surgery among patients with cannabis use disorder. Further, there is no significant difference in health services utilisation among consumers versus non-consumers.",HPB : the official journal of the International Hepato Pancreato Biliary Association,2025-07-01,10.1016/j.hpb.2025.04.006,Amir H Sohail,Matthew C Hernandez,"Department of Surgery, University of New Mexico Health Sciences Center, Albuquerque, NM, USA. Electronic address: Ameer.hamzasohail@gmail.com.; Department of Psychiatry and Behavioural Health, University of New Mexico Health Sciences Center, Albuquerque, NM, USA.; Department of Medicine, University of New Mexico Health Sciences Center, Albuquerque, NM, USA.; Department of Surgery, University of New Mexico Health Sciences Center, Albuquerque, NM, USA.; Department of Surgery, University of New Mexico Health Sciences Center, Albuquerque, NM, USA.; Department of Surgery, University of New Mexico Health Sciences Center, Albuquerque, NM, USA.","Humans, Male, Female, Middle Aged, United States, Postoperative Complications, Aged, Risk Factors, Hospital Mortality, Length of Stay, Adult, Databases, Factual, Treatment Outcome, Hospital Charges, Biliary Tract Surgical Procedures, Risk Assessment, Marijuana Use",N/A
40326723,Adherence to opioid prescribing guidelines at an academic family medicine practice.,"Opioid prescribing practices and guidelines are outlined by the United States Centers for Disease Control and Prevention (CDC), but limited data are currently available regarding their use in clinical practice. A primary care residency clinical site at an academic medical center attempted to improve compliance with the CDC best practices in 2022. As a quality improvement initiative, a policy was created, and education was provided to clinicians and patients. The clinical impact of these interventions was analyzed. A retrospective chart review was performed for patients on chronic opiates during 2023. Extracted electronic health record data were analyzed to collect information on the prescriber (resident/faculty/advanced practice provider), opioid type and duration, concurrent benzodiazepine use, and mental health diagnoses. The main outcomes were whether these patients had an opioid agreement and/or urine drug screen (UDS) in the past 12 months. A total of 245 patients met the criteria, with 29 percent also being prescribed benzodiazepines, and 69 percent having at least one mental health diagnosis. Forty-one percent of the patients had a UDS in the electronic medical record in 2023, with the statistically significant predictors being nontramadol opioid use and a completed opioid agreement. Thirty-two percent had a completed opioid agreement, with the statistically significant predictors being a concomitant mental health diagnosis, provider type, and UDS obtained. Despite policy and education, compliance with our primary outcomes remained low. Residents were the most compliant. Tramadol was also uniquely identified as having lower compliance with having a UDS on file. Next steps include continued education efforts on the risk and best practices for reducing opioid-related harms and structured chart reviews.",Journal of opioid management,2025,10.5055/jom.0931,Jennifer E Roper,Michelle K Keating,"Department of Family and Community Medicine, Wake Forest University School of Medicine, Atrium Health Wake Forest Baptist, Winston-Salem, North Carolina. ORCID: https://orcid.org/0009-0005-6332-0217.; Mountain Area Health Education Center, Asheville, North Carolina.; Department of Family and Community Medicine, Wake Forest University School of Medicine, Atrium Health Wake Forest Baptist, Winston-Salem, North Carolina. ORCID: https://orcid.org/0000-0002-5144-7780.; Department of Family and Community Medicine, Wake Forest University School of Medicine, Atrium Health Wake Forest Baptist, Winston-Salem, North Carolina.; Department of Family and Community Medicine, Wake Forest University School of Medicine, Atrium Health Wake Forest Baptist, Winston-Salem, North Carolina.; Department of Family and Community Medicine, Wake Forest University School of Medicine, Atrium Health Wake Forest Baptist, Winston-Salem, North Carolina.; Department of Family and Community Medicine, Wake Forest University School of Medicine, Atrium Health Wake Forest Baptist, Winston-Salem, North Carolina.","Humans, Analgesics, Opioid, Retrospective Studies, Guideline Adherence, Male, Practice Patterns, Physicians', Female, Middle Aged, Academic Medical Centers, Family Practice, Practice Guidelines as Topic, Adult, Quality Improvement, Electronic Health Records, Drug Prescriptions, Aged, Opioid-Related Disorders, Primary Health Care, Substance Abuse Detection",N/A
40328372,"Relationship between opioid use disorder during pregnancy, delivery-related outcomes, and healthcare utilization in Michigan Medicaid, 2012-2021.","Pregnant individuals with opioid use disorder (OUD) deliver >20,000 infants annually in the United States, with serious health consequences for perinatal individuals and their infants. This study compares delivery-related outcomes and healthcare utilization among Michigan Medicaid-enrolled perinatal individuals with and without an OUD diagnosis. We conducted a retrospective cohort study among Michigan Medicaid enrollees aged 15-44 who delivered a live infant between 2012 and 2021. The cohort included 218,890 deliveries among 170,002 individuals enrolled continuously in Michigan Medicaid for nine months before delivery and up to three months postpartum. Of those, 3.26 % had an OUD diagnosis during this analytic period. Perinatal individuals with OUD identified primarily as White (82.9 %), lived in urban areas (77.2 %), and had a lower income (68.6 %). Among individuals with OUD, 31 % had another behavioral health diagnosis and 55.1 % received a prescription for a psychotropic medication. Of those with OUD, 47.4 % received a prescription for medication for OUD. Deliveries with OUD versus without OUD had a lower probability of cesarean delivery (aOR = 0.89) but higher odds of preterm delivery (aOR = 1.31). Those with OUD had higher likelihood of ambulatory (aOR = 1.99), ED/observational (aOR = 1.19), psychotherapy (aOR = 5.48), and substance use disorder care (aOR = 27.05) visits than those without OUD. Medicaid-enrolled perinatal individuals in Michigan with OUD had higher rates of preterm birth and healthcare utilization compared to those without OUD. Clinicians and policymakers should target early detection and tailored, coordinated treatment to better address the needs of these individuals.",Journal of substance use and addiction treatment,2025-08-01,10.1016/j.josat.2025.209720,Clayton J Shuman,Kara Zivin,"Department of Systems, Populations and Leadership, University of Michigan School of Nursing, Ann Arbor, MI, USA; Program on Women's Healthcare Effectiveness Research, Department of Obstetrics and Gynecology, University of Michigan Medical School, Ann Arbor, MI, USA; Center for Health Policy and Health Services Research, Henry Ford Health System, Detroit, MI, USA; VA Ann Arbor Healthcare System, Ann Arbor, MI, USA; Center for the Study of Drugs, Alcohol, Smoking, and Health, University of Michigan, Ann Arbor, MI, USA. Electronic address: clayshu@med.umich.edu.; Department of Obstetrics and Gynecology, University of Michigan, Ann Arbor, MI, USA. Electronic address: xiaosonz@umich.edu.; Department of Psychiatry, University of Michigan Medical School, Ann Arbor, MI, USA; Program on Women's Healthcare Effectiveness Research, Department of Obstetrics and Gynecology, University of Michigan Medical School, Ann Arbor, MI, USA. Electronic address: stephall@umich.edu.; Department of Obstetrics and Gynecology, University of Michigan, Ann Arbor, MI, USA. Electronic address: atilea@umich.edu.; Child Health Evaluation and Research Center, University of Michigan, Ann Arbor, MI, USA. Electronic address: saclark@umich.edu.; Center for Health Policy and Health Services Research, Henry Ford Health System, Detroit, MI, USA. Electronic address: avance2@hfhs.org.; Department of Psychiatry, University of Michigan Medical School, Ann Arbor, MI, USA. Electronic address: annavp@umich.edu.; Department of Obstetrics and Gynecology, University of Michigan, Ann Arbor, MI, USA; Department of Psychiatry, University of Michigan Medical School, Ann Arbor, MI, USA; Program on Women's Healthcare Effectiveness Research, Department of Obstetrics and Gynecology, University of Michigan Medical School, Ann Arbor, MI, USA; Institute for Healthcare Policy and Innovation, University of Michigan, Ann Arbor, MI, USA; Department of Health Policy and Management, University of Michigan School of Public Health, Ann Arbor, MI, USA; VA Ann Arbor Healthcare System, Ann Arbor, MI, USA. Electronic address: kzivin@umich.edu.","Humans, Female, Pregnancy, Medicaid, Michigan, United States, Adult, Retrospective Studies, Opioid-Related Disorders, Young Adult, Adolescent, Pregnancy Complications, Patient Acceptance of Health Care, Pregnancy Outcome, Infant, Newborn, Premature Birth, Cesarean Section","Healthcare utilization, Medicaid, Opioid use disorder, Perinatal behavioral health, Perinatal mental health, Preterm birth"
40330594,Reduced composite dietary antioxidant index increases the risk of Parkinson's disease and all-cause mortality in Parkinson's disease patients: evidence from the NHANES database.,"This study aimed to investigate the relationship between the Composite Dietary Antioxidant Index (CDAI) and the prevalence of Parkinson's disease (PD), as well as to explore its relationship with all-cause mortality risk in PD patients. Data from the National Health and Nutrition Examination Survey (NHANES) database spanning from 2007 to 2018 were used, including 119,609 participants. After excluding individuals aged <18 years, those with incomplete follow-up data, and those missing critical variables such as CDAI and covariates, the final cohort consisted of 34,133 participants. Participants were categorized into a PD group (510 individuals) and a non-PD group (33,623 individuals). The CDAI values were calculated, and participants were divided into three groups based on the tertile distribution of their CDAI scores: Q1 (CDAI < -1.07), Q2 (-1.07 to 1.74), and Q3 (CDAI >1.74). Weighted logistic regression and weighted Cox regression analyses were employed to evaluate the associations between CDAI and the prevalence of PD, as well as between CDAI and all-cause mortality risk. Restricted cubic spline regression analysis was used to further elucidate the precise relationship between CDAI and outcome events. CDAI values were significantly lower in the PD group compared to the non-PD group. After adjusting for age, sex, comorbid conditions (hypertension and diabetes), blood lipid and glucose levels, a reduction in CDAI was associated with an increased risk of PD (Q3 vs. Q1, OR = 0.72,  CDAI reduction is an independent risk factor for both PD risk in the general population and all-cause mortality in PD patients, with amplified predictive power in older adults, smokers, and hypertensive individuals. Our findings support developing personalized antioxidant-enhancing nutritional interventions for both high-risk populations with suboptimal CDAI and established PD patients.",Frontiers in aging neuroscience,2025,10.3389/fnagi.2025.1510654,Fei Huang,Dan He,"Department of Neurology, The First Hospital of Changsha, Changsha, China.; Department of Neurology, The First Hospital of Changsha, Changsha, China.; Department of Neurology, The First Hospital of Changsha, Changsha, China.; Department of Neurology, The First Hospital of Changsha, Changsha, China.; Department of Neurology, The First Hospital of Changsha, Changsha, China.",N/A,"NHANES database, Parkinson’s disease, all-cause mortality, composite dietary antioxidant index, restricted cubic spline regression model"
40330996,Risk Factors and Outcomes Associated with Emergency Abdominal Surgery following Lower Extremity Total Joint Arthroplasty.,"This study aims to identify potential risk factors and assess postoperative outcomes associated with requiring emergency abdominal surgery (EAS) within 30 days following total hip arthroplasty (THA) and total knee arthroplasty (TKA). We hypothesized that patients requiring EAS would carry a higher morbidity and mortality rates compared to patients that underwent the index operation alone. We conducted a retrospective analysis using TriNetX, examining data from 2016-2024 from patients over 18 years old who underwent THA/TKA and required EAS within 30 days. Postoperative outcomes, including mortality and hospital readmission, were compared between patients requiring EAS and those who did not. Statistical analyses included measures of association and chi-squared tests. Patient demographic data, including age, sex, and comorbidities were analyzed. Patients requiring EAS within 30 days of a joint arthroplasty were significantly more likely to be older, overweight or obese, and to be diagnosed with comorbidities including diverticular disease, cholelithiasis, alcohol use disorders, and tobacco use. These patients had significantly higher mortality rates within 60 days of joint arthroplasty compared to patients without EAS, suggesting that the second operation contributed significantly to the increase in adverse outcomes. This study emphasizes the importance of recognizing key risk factors for severe GI complications that require EAS. These findings highlight the need for careful patient selection, pre-operative evaluation of risk, and vigilant post-operative management, especially in those with many risk factors. Improved identification and management of high-risk patients may help reduce the likelihood of EAS and its associated mortality.",The archives of bone and joint surgery,2025,10.22038/ABJS.2024.82090.3743,Annie Lu,Sergio Huerta,N/A,N/A,"Arthroplasty, Emergency abdominal surgery, Mortality, Risk factors"
40340456,Utilization of Outpatient Mental Health Services During and 2 Years after the COVID-19 Pandemic.,N/A,Telemedicine journal and e-health : the official journal of the American Telemedicine Association,2025-05-08,10.1089/tmj.2024.0581,Michelle A Hayek,Michelle J Bovin,"Population Informatics Lab, Texas A&M School of Public Health, College Station, Texas, USA.; Department of Industrial & Systems Engineering, Texas A&M University, College Station, Texas, USA.; Population Informatics Lab, Texas A&M School of Public Health, College Station, Texas, USA.; Department of Industrial & Systems Engineering, Texas A&M University, College Station, Texas, USA.; Department of Health Policy and Management, Texas A&M University School of Public Health, College Station, Texas, USA.; Population Informatics Lab, Texas A&M School of Public Health, College Station, Texas, USA.; Center for Health Care Data, School of Public Health, The University of Texas Health Science Center at Houston, Houston, Texas, USA.; Population Informatics Lab, Texas A&M School of Public Health, College Station, Texas, USA.; Department of Health Policy and Management, Texas A&M University School of Public Health, College Station, Texas, USA.; Population Informatics Lab, Texas A&M School of Public Health, College Station, Texas, USA.; Department of Industrial & Systems Engineering, Texas A&M University, College Station, Texas, USA.; National Center for PTSD, VA Boston Healthcare System, Boston, Massachusetts, USA.; Department of Psychiatry, Boston University Chobanian & Avedisian School of Medicine, Boston, Massachusetts, USA.",N/A,"COVID-19, behavioral health, mental health, outpatient mental health, telehealth, telemedicine"
