pmid,pmcid
26455587,5845842
26455587,5895383
26455587,5916582
26455587,6066804
26455587,6609893
26455587,7864398
26455587,8301937
26455587,9584674
26474422,10284637
26474422,10296684
26474422,10551846
26474422,10743591
26474422,10758849
26474422,11355429
26474422,4785262
26474422,5087621
26474422,5159274
26474422,5431377
26474422,5604447
26474422,5868279
26474422,5945502
26474422,6314887
26474422,6449192
26474422,6525177
26474422,6927401
26474422,7030090
26474422,7030294
26474422,7086274
26474422,7328760
26474422,7330688
26474422,7409086
26474422,7575684
26474422,8254894
26474422,8402962
26474422,8457155
26474422,8757853
26474422,8891310
26474422,9019584
26474422,9199224
26474422,9279119
26474422,9412935
26474422,9711985
26474422,9835655
26474422,9923858
26489986,10141950
26489986,10522260
26489986,10899845
26489986,11486850
26489986,12194657
26489986,5016550
26489986,6376295
26489986,6419143
26489986,6914263
26489986,7291399
26489986,7784165
26489986,7810746
26489986,7864088
26489986,8325863
26497004,10080501
26497004,4760993
26497004,4760998
26497004,5042987
26497004,5526555
26497004,5598808
26497004,5887874
26497004,6206540
26497004,6993329
26497004,7154635
26497004,7451536
26497004,8122556
26497004,9092325
26497004,9325446
26505976,10513225
26505976,11242269
26505976,11420267
26505976,11849792
26505976,12206360
26505976,5051740
26505976,5447161
26505976,5447172
26505976,5447180
26505976,5589035
26505976,6191135
26505976,7093786
26505976,7272504
26505976,8243236
26505976,8384803
26505976,9172168
26505976,9239346
26505976,9508986
26511607,5302132
26511607,5388832
26511607,5985996
26511607,7193821
26511607,7398314
26511607,8105681
26511607,8278413
26511607,9377814
26513409,11252876
26513409,11284323
26513409,11450872
26513409,4860483
26513409,4860487
26513409,4980372
26513409,5383077
26513409,5392346
26513409,5949492
26513409,6037974
26513409,6198887
26513409,6503336
26513409,6681240
26513409,6916678
26513409,6987350
26513409,7136785
26513409,7947407
26513409,8641828
26513409,8652089
26513409,9448004
26513409,9523743
26513409,9586171
26513409,9715810
26513409,9819262
26516794,10690857
26516794,6279272
26516794,6516588
26516794,7203611
26516794,8195321
26516794,8550890
26523783,5421391
26523783,7717815
26553960,10152525
26553960,10808960
26553960,11141411
26553960,11542319
26553960,11607708
26553960,12199688
26553960,5406337
26553960,5541494
26553960,6148586
26553960,6261770
26553960,6814035
26553960,8375342
26553960,8681887
26555836,10550666
26555836,10653768
26555836,10958760
26555836,12002599
26555836,12049922
26555836,6383458
26555836,8205921
26555836,8700418
26555836,9074214
26555836,9333534
26555836,9945789
26555836,9973556
26559720,11207740
26559720,11921933
26559720,12179476
26559720,5118192
26559720,5183543
26559720,6226575
26559720,6399570
26559720,6640642
26559720,6699669
26559720,7940726
26559720,8059966
26559720,9713602
26559720,9779462
26563446,10105485
26563446,10855015
26563446,4695300
26563446,5959045
26563446,6626564
26563446,6676918
26563446,7384941
26563446,7810452
26563649,10756960
26563649,11350551
26563649,5862330
26563649,5956641
26563649,6104344
26563649,7734368
26563649,8458194
26563649,9720815
26564329,10392165
26564329,10777743
26564329,11178248
26564329,11584138
26564329,12015682
26564329,7280399
26564329,8367031
26564329,8483164
26567928,5964257
26568195,10321524
26568195,5759697
26568195,6008703
26568195,8359493
26568195,8442081
26578747,10702622
26578747,10725534
26578747,11371156
26578747,11539935
26578747,11596034
26578747,11914368
26578747,4784529
26578747,5543314
26578747,6631489
26578747,7572219
26578747,8240741
26578747,8376313
26578747,8489308
26578747,8919713
26578747,9204286
26578747,9337226
26578747,9467677
26578747,9673761
26578747,9748824
26581974,10298021
26581974,10365624
26581974,11098029
26581974,11882924
26581974,11960795
26581974,11974437
26581974,4681585
26581974,4681592
26581974,4692280
26581974,4699315
26581974,5193170
26581974,5262527
26581974,5458623
26581974,5896450
26581974,6135958
26581974,6141209
26581974,6496404
26581974,6571600
26581974,6629841
26581974,6659508
26581974,6878184
26581974,7038900
26581974,7190433
26581974,7511867
26581974,7878324
26581974,8499853
26581974,8634530
26581974,8740936
26581974,8819897
26581974,8867423
26581974,9639258
26581974,9868063
26599286,10037643
26599286,10205419
26599286,10315650
26599286,10499689
26599286,10571684
26599286,10664718
26599286,10698756
26599286,10704233
26599286,10981268
26599286,11465817
26599286,11574234
26599286,11608697
26599286,11662074
26599286,11745200
26599286,5459965
26599286,5461954
26599286,5574692
26599286,5604707
26599286,5726738
26599286,5734799
26599286,5760864
26599286,5802596
26599286,5812767
26599286,5855926
26599286,6067788
26599286,6071407
26599286,6207114
26599286,6344455
26599286,6696844
26599286,7104897
26599286,7211949
26599286,7292710
26599286,7417382
26599286,7554843
26599286,7594261
26599286,7701339
26599286,7802911
26599286,7890589
26599286,7919148
26599286,7998350
26599286,8504869
26599286,8533368
26599286,8609199
26599286,8867359
26599286,9052487
26601636,10169239
26601636,10310399
26601636,10637554
26601636,11023614
26601636,11871755
26601636,5085929
26601636,5384913
26601636,6082478
26601636,6259861
26601636,6259890
26601636,6409231
26601636,7000018
26601636,7000063
26601636,7171879
26601636,7948573
26601636,8011390
26601636,8111901
26601636,8167312
26601636,8672479
26601636,8929521
26601636,9178328
26601636,9237280
26616353,5106301
26616353,5340821
26616353,5488145
26616353,5694912
26616353,5833227
26616353,5850566
26616353,5978638
26616353,6090809
26616353,6748555
26616353,6753523
26616353,6969670
26616353,7062133
26616353,7137260
26616353,8214994
26616353,9366436
26616353,9634894
26620293,10105343
26620293,10297288
26620293,10329986
26620293,10476606
26620293,10563141
26620293,11350282
26620293,11562897
26620293,11745923
26620293,11877645
26620293,6331244
26620293,6990723
26620293,7420244
26620293,7561034
26620293,8695636
26620293,8712354
26620293,8946967
26620293,8976965
26620293,9209379
26639948,11017589
26639948,11437661
26639948,11907094
26639948,12044739
26639948,12188983
26639948,4684030
26639948,5049967
26639948,5215645
26639948,5623876
26639948,5855401
26639948,6464284
26639948,6720139
26639948,6883522
26639948,7183585
26639948,7388034
26639948,7559052
26639948,8647398
26639948,8653908
26639948,9090446
26639948,9306504
26639948,9875430
26646124,10401611
26646124,10440315
26646124,10648246
26646124,10691142
26646124,10830121
26646124,10941704
26646124,11046442
26646124,11099826
26646124,11731026
26646124,4975660
26646124,5177465
26646124,5533689
26646124,5581226
26646124,6351248
26646124,6381747
26646124,6463256
26646124,6629382
26646124,6714030
26646124,6823420
26646124,6830505
26646124,6921936
26646124,7033923
26646124,7048407
26646124,7060630
26646124,7138513
26646124,7368395
26646124,7658419
26646124,7789633
26646124,7805069
26646124,8016184
26646124,8581118
26646124,8585684
26646124,8759539
26646124,9075081
26646124,9550088
26646124,9586468
26646124,9758649
26646124,9761478
26646419,10687712
26646419,4880607
26646419,7785763
26646419,8722335
26646419,9165614
26646419,9600984
26652896,10120113
26652896,11462075
26652896,5549249
26652896,5676857
26652896,6442108
26652896,6947397
26652896,7223011
26652896,7551569
26652896,8165176
26652896,8324698
26652896,8984047
26662858,10022523
26662858,10052807
26662858,10089662
26662858,10184496
26662858,10387908
26662858,10528295
26662858,10683938
26662858,10781771
26662858,10875624
26662858,10953166
26662858,11132627
26662858,11146239
26662858,11183212
26662858,11281026
26662858,11584174
26662858,11638526
26662858,11825882
26662858,11853618
26662858,11907330
26662858,11938673
26662858,11986849
26662858,12002408
26662858,12004863
26662858,12009210
26662858,12208081
26662858,12257975
26662858,5257276
26662858,5312773
26662858,5442021
26662858,5555852
26662858,6090487
26662858,6165853
26662858,6354252
26662858,6380041
26662858,6557135
26662858,6588461
26662858,6613583
26662858,6688544
26662858,6731543
26662858,6910718
26662858,6971390
26662858,7002204
26662858,7099099
26662858,7107675
26662858,7158756
26662858,7171554
26662858,7210080
26662858,7245382
26662858,7371521
26662858,7531057
26662858,7796992
26662858,7849121
26662858,7849630
26662858,7987236
26662858,8041978
26662858,8152083
26662858,8214015
26662858,8238783
26662858,8339171
26662858,8339176
26662858,8359825
26662858,8380665
26662858,8455419
26662858,8599526
26662858,8620531
26662858,8840957
26662858,8904661
26662858,8968723
26662858,9056018
26662858,9097821
26662858,9248991
26662858,9518695
26662858,9588652
26662858,9839474
26662858,9912293
26662858,9948869
26672639,10011912
26672639,10094585
26672639,10167758
26672639,10222258
26672639,10242254
26672639,10352721
26672639,10556652
26672639,10583654
26672639,10658070
26672639,10735173
26672639,10741470
26672639,10835537
26672639,10869587
26672639,10892374
26672639,10907333
26672639,10923068
26672639,11036547
26672639,11060227
26672639,11084851
26672639,11167530
26672639,11244212
26672639,11275635
26672639,11292082
26672639,11365328
26672639,11383496
26672639,11401269
26672639,11539341
26672639,11613062
26672639,11634646
26672639,11647902
26672639,11675702
26672639,11714111
26672639,11736475
26672639,11787050
26672639,11815464
26672639,11856594
26672639,12211774
26672639,12237311
26672639,4803162
26672639,4994071
26672639,5225025
26672639,5241533
26672639,5404771
26672639,5487879
26672639,5659780
26672639,5870222
26672639,5873722
26672639,6185924
26672639,6189125
26672639,6197514
26672639,6207043
26672639,6287638
26672639,6323521
26672639,6351951
26672639,6371264
26672639,6470421
26672639,6514656
26672639,6550083
26672639,6553815
26672639,6686099
26672639,6713693
26672639,6872729
26672639,6901567
26672639,6993272
26672639,7019322
26672639,7026693
26672639,7092553
26672639,7152978
26672639,7156868
26672639,7267728
26672639,7325099
26672639,7371536
26672639,7408116
26672639,7465294
26672639,7531579
26672639,7534411
26672639,7562794
26672639,7843185
26672639,7868696
26672639,7869742
26672639,7884219
26672639,7901103
26672639,7916177
26672639,8290522
26672639,8324682
26672639,8324696
26672639,8468081
26672639,8585737
26672639,8596626
26672639,8650045
26672639,8794413
26672639,8928543
26672639,8967074
26672639,9024205
26672639,9050949
26672639,9094131
26672639,9112033
26672639,9112589
26672639,9149586
26672639,9178638
26672639,9279260
26672639,9323785
26672639,9481363
26672639,9534455
26672639,9561122
26672639,9570193
26672639,9648271
26672639,9693963
26672639,9705525
26672639,9813648
26672639,9896611
26672639,9937001
26672639,9941148
26674559,10015988
26674559,10042654
26674559,10068265
26674559,10171435
26674559,10380301
26674559,10467580
26674559,10521554
26674559,10560362
26674559,10590568
26674559,10841502
26674559,10890002
26674559,10914502
26674559,10958328
26674559,10987536
26674559,11052603
26674559,11111444
26674559,11128727
26674559,11216957
26674559,11432267
26674559,11631899
26674559,11643900
26674559,11683063
26674559,12026261
26674559,12049307
26674559,12133492
26674559,12156384
26674559,12170198
26674559,12182500
26674559,12232653
26674559,5027928
26674559,5130065
26674559,5193328
26674559,5359104
26674559,5583372
26674559,5850522
26674559,5850610
26674559,6087843
26674559,6087848
26674559,6104745
26674559,6162299
26674559,6199424
26674559,6276647
26674559,6279498
26674559,6295794
26674559,6328981
26674559,6455044
26674559,6524745
26674559,6642638
26674559,6704466
26674559,6736068
26674559,6761122
26674559,6882231
26674559,7108997
26674559,7211358
26674559,7275636
26674559,7329649
26674559,7349587
26674559,7527112
26674559,7550237
26674559,7559360
26674559,7576283
26674559,7857360
26674559,8190225
26674559,8198602
26674559,8244266
26674559,8254745
26674559,8365356
26674559,8432470
26674559,8451618
26674559,8490600
26674559,8496092
26674559,8877074
26674559,8959433
26674559,9031759
26674559,9253797
26674559,9369943
26674559,9402707
26674559,9483096
26674559,9662187
26675123,10757236
26675123,11134618
26675123,11255913
26675123,5413801
26675123,8967922
26687985,10359994
26687985,10796792
26687985,10890585
26687985,5532983
26687985,5773700
26687985,6617502
26687985,6826642
26687985,7222562
26687985,7792380
26687985,8031349
26687985,8120385
26687985,8859628
26689318,10324689
26689318,4724483
26691126,10618135
26691126,11616268
26691126,4815709
26691126,5610132
26691126,6318077
26691126,6785113
26691126,6904685
26691126,7427253
26691126,7444860
26691126,7529684
26691126,7923960
26691126,8021089
26691126,8055301
26700157,10515575
26700157,10787502
26700157,10876118
26700157,4860482
26700157,4860488
26700157,5915619
26700157,6137678
26700157,7141363
26700157,7947380
26700157,8792486
26700157,9007481
26700157,9806062
26700157,9925896
26700411,10080931
26700411,10111460
26700411,10149805
26700411,10496263
26700411,10524615
26700411,11291955
26700411,11509626
26700411,11892214
26700411,12086608
26700411,12212459
26700411,5625954
26700411,5837303
26700411,5906520
26700411,6690354
26700411,6781324
26700411,6952268
26700411,7142076
26700411,7539590
26700411,8678727
26700411,8683859
26700411,9029714
26700411,9948339
26702478,10108684
26702478,10366395
26702478,10475752
26702478,11117232
26702478,11190337
26702478,11980918
26702478,12180237
26702478,5189690
26702478,6640319
26702478,6890852
26702478,7535024
26702478,8666897
26706666,10172679
26706666,10546505
26706666,10865203
26706666,10989411
26706666,11145799
26706666,11313030
26706666,11389638
26706666,4818178
26706666,4892637
26706666,6469335
26706666,7072021
26706666,7176094
26706666,7317241
26706666,7327347
26706666,7377436
26706666,7874574
26706666,9196083
26706666,9308636
26708529,10165401
26708529,10944074
26708529,11157356
26708529,11536518
26708529,11704534
26708529,5269570
26708529,5542986
26708529,5986896
26708529,6157910
26708529,6214647
26708529,6708902
26708529,6915047
26708529,7279677
26708529,7340702
26708529,7370966
26708529,7677785
26708529,7702298
26708529,7947066
26708529,8541640
26708529,8721763
26708529,9210439
26716995,10155412
26716995,10341251
26716995,10514865
26716995,10529911
26716995,10645480
26716995,10866200
26716995,10872763
26716995,10977359
26716995,11116045
26716995,11593118
26716995,12067606
26716995,4943214
26716995,5179302
26716995,5753621
26716995,5827812
26716995,5858976
26716995,5869116
26716995,5875328
26716995,5934298
26716995,5965365
26716995,6072590
26716995,6142986
26716995,6186448
26716995,6484797
26716995,6626319
26716995,6658888
26716995,6685778
26716995,6782052
26716995,6856776
26716995,6913969
26716995,6934913
26716995,6936331
26716995,7085424
26716995,7347211
26716995,7462253
26716995,7491962
26716995,7886960
26716995,8026560
26716995,8049382
26716995,8606008
26716995,8702064
26716995,9053101
26716995,9134995
26716995,9269031
26716995,9351695
26716995,9536461
26721613,10315385
26721613,10449152
26721613,10472496
26721613,10567978
26721613,10606085
26721613,11017380
26721613,11774384
26721613,12102862
26721613,5545182
26721613,5593207
26721613,5609816
26721613,6033690
26721613,6296089
26721613,6474469
26721613,6652031
26721613,6658212
26721613,6689227
26721613,6928412
26721613,7018928
26721613,7080872
26721613,7083064
26721613,7263736
26721613,8046719
26721613,8217215
26721613,8324607
26721613,8455734
26721613,8494834
26721613,8601097
26721613,8664984
26721613,8904270
26721613,8904272
26721613,8943129
26721613,9284824
26721613,9534483
26730557,10178153
26730557,10475305
26730557,10556464
26730557,11319153
26730557,11466572
26730557,11647031
26730557,11921495
26730557,12049249
26730557,12055495
26730557,6915331
26730557,8064721
26730557,8074362
26730557,8167756
26730557,8384293
26730557,9769133
26733696,10223054
26733696,10397838
26733696,10399860
26733696,10404604
26733696,10652452
26733696,10864835
26733696,11056040
26733696,11189899
26733696,11287446
26733696,11527587
26733696,11624095
26733696,11749276
26733696,11883530
26733696,12139190
26733696,12163371
26733696,4936480
26733696,5130958
26733696,5542562
26733696,5636049
26733696,5718360
26733696,5859496
26733696,5922267
26733696,5966314
26733696,6153227
26733696,6330240
26733696,6373775
26733696,6484638
26733696,6988730
26733696,7045703
26733696,7293944
26733696,7299087
26733696,7304981
26733696,7523066
26733696,7575533
26733696,7772257
26733696,7947066
26733696,8028837
26733696,8093211
26733696,8368578
26733696,8446308
26733696,8634054
26733696,8902682
26733696,9056059
26733696,9144491
26733696,9167150
26733696,9248991
26733696,9709789
26733696,9793431
26733696,9974921
26733696,9976712
26733699,10182426
26733699,10291413
26733699,10633930
26733699,11195793
26733699,11228863
26733699,11709258
26733699,11875231
26733699,11995528
26733699,12176241
26733699,5173482
26733699,5302109
26733699,5709536
26733699,6129088
26733699,6267642
26733699,6309042
26733699,6684199
26733699,6830474
26733699,6834447
26733699,6844454
26733699,7085478
26733699,7202946
26733699,7207026
26733699,7265616
26733699,7376464
26733699,7458155
26733699,7489517
26733699,7495888
26733699,7561034
26733699,7759113
26733699,7967527
26733699,8064281
26733699,8329899
26733699,8381537
26733699,8702570
26733699,8892069
26733699,8901449
26733699,9584173
26733699,9842100
26733702,10084723
26733702,10121784
26733702,10198962
26733702,10262029
26733702,10706183
26733702,11287441
26733702,11346593
26733702,11440634
26733702,11613178
26733702,11656325
26733702,11956158
26733702,4705858
26733702,5023615
26733702,5023621
26733702,5049967
26733702,5084624
26733702,5313220
26733702,5349494
26733702,5407463
26733702,5479677
26733702,5510536
26733702,5638442
26733702,5733401
26733702,5832576
26733702,6086054
26733702,6232436
26733702,6362459
26733702,6644070
26733702,6664091
26733702,6699517
26733702,6724530
26733702,6854179
26733702,6916738
26733702,6924922
26733702,6971922
26733702,6986987
26733702,7186554
26733702,7205166
26733702,7229484
26733702,7654820
26733702,7879425
26733702,7930923
26733702,8039006
26733702,8225401
26733702,8367015
26733702,8405013
26733702,8579379
26733702,8867367
26733702,9158367
26733702,9186091
26733702,9424880
26733702,9643088
26733702,9944845
26733702,9948888
26735529,10063192
26735529,10424362
26735529,10838245
26735529,11542438
26735529,11753055
26735529,12090017
26735529,12132712
26735529,12176894
26735529,4706249
26735529,5129872
26735529,5291593
26735529,5567237
26735529,5585534
26735529,5704572
26735529,6113772
26735529,6609121
26735529,6974854
26735529,7510336
26735529,7557382
26735529,7711868
26735529,7862639
26735529,8032208
26735529,8508187
26735529,8551720
26735529,9140422
26735529,9509536
26735529,9617306
26755784,10153224
26755784,10158959
26755784,10320206
26755784,10522028
26755784,10609967
26755784,10619579
26755784,10752086
26755784,10842322
26755784,10932873
26755784,10960712
26755784,10986122
26755784,11092930
26755784,11104685
26755784,11197152
26755784,11203961
26755784,11354190
26755784,11578014
26755784,12182372
26755784,4709146
26755784,4709156
26755784,4890716
26755784,4904297
26755784,5050125
26755784,5171228
26755784,5292086
26755784,5296683
26755784,5404697
26755784,5494581
26755784,5591052
26755784,5643465
26755784,5743545
26755784,5870788
26755784,5946357
26755784,6003009
26755784,6357776
26755784,6393140
26755784,6405681
26755784,6579618
26755784,6655534
26755784,6704751
26755784,6731997
26755784,6742518
26755784,6791780
26755784,7029788
26755784,7036209
26755784,7050294
26755784,7052811
26755784,7104520
26755784,7140371
26755784,7154936
26755784,7165032
26755784,7260954
26755784,7295174
26755784,7338554
26755784,7493235
26755784,7587892
26755784,7590231
26755784,7711316
26755784,7727591
26755784,7755115
26755784,7870327
26755784,7939522
26755784,7943636
26755784,7960521
26755784,8119524
26755784,8238014
26755784,8363233
26755784,8547203
26755784,8707752
26755784,8807212
26755784,8830421
26755784,8837077
26755784,8899439
26755784,8936437
26755784,9175946
26755784,9194670
26755784,9246186
26755784,9292210
26755784,9303691
26755784,9340651
26755784,9509520
26755784,9583814
26755784,9624202
26755784,9639433
26755784,9701507
26755784,9792431
26764576,10023419
26764576,10460047
26764576,10646730
26764576,10692415
26764576,10756549
26764576,10766437
26764576,10776797
26764576,10836023
26764576,10838663
26764576,10939016
26764576,11032234
26764576,11209781
26764576,11286354
26764576,4826837
26764576,5434499
26764576,5993181
26764576,6226016
26764576,6657438
26764576,6781919
26764576,6804610
26764576,6881195
26764576,6988153
26764576,7037672
26764576,7229484
26764576,7334054
26764576,7368395
26764576,7489369
26764576,7658419
26764576,7665993
26764576,7887025
26764576,8075422
26764576,8328504
26764576,8579379
26764576,8785308
26764576,8800020
26764576,9035018
26764576,9458770
26764576,9529806
26764576,9704661
26764576,9978037
26768323,10725706
26768323,5027402
26768323,8281193
26769877,10536731
26769877,11216067
26769877,11416148
26769877,5772378
26769877,5994958
26769877,6057975
26769877,6798018
26769877,6937041
26769877,7249246
26769877,7370791
26769877,7916054
26769877,8014911
26769877,8052844
26769877,8394130
26769877,8995857
26769877,9516045
26769877,9700920
26773923,10924317
26773923,11312610
26773923,5504611
26773923,5550498
26773923,6231867
26773923,6260561
26773923,6877203
26773923,7137426
26773923,7298860
26773923,7463410
26773923,8166711
26773991,10192829
26773991,10452678
26773991,10507876
26773991,10579598
26773991,10756590
26773991,11035759
26773991,4715863
26773991,5947163
26773991,5999798
26773991,9104469
26773991,9144491
26773991,9520129
26778760,10921485
26778760,4976392
26778760,4985620
26778760,5385927
26778760,5805103
26778760,5828404
26778760,6026856
26778760,6341485
26778760,6384205
26778760,6419728
26778760,6484643
26778760,6639812
26778760,6664298
26778760,6901007
26778760,6980704
26778760,7041629
26778760,7060402
26778760,7077777
26778760,7148165
26778760,7190021
26778760,7371528
26778760,7407056
26778760,7606411
26778760,7770462
26778760,7785898
26778760,7789408
26778760,7881356
26778760,8595838
26778760,8796812
26778760,8810626
26778760,8826318
26778760,9164259
26778760,9277518
26778760,9286294
26778760,9441289
26778760,9914561
26781062,11387927
26781062,4767629
26781062,5748025
26781062,6420834
26781062,6499642
26781062,7124510
26781062,7182491
26781062,7335461
26781062,7427253
26781062,8141007
26781062,8522802
26781062,9734485
26792706,11065657
26792706,11228690
26792706,11560282
26792706,5518960
26792706,5697590
26792706,6024540
26792706,6454657
26792706,6535953
26792706,6911333
26792706,7222454
26792706,7548946
26792706,7682220
26792706,8689347
26792706,9402418
26799683,10023880
26799683,10618685
26799683,10715032
26799683,11095842
26799683,11104284
26799683,7710870
26799683,8226201
26801463,10186431
26801463,10372446
26801463,10883449
26801463,11222384
26801463,11766895
26801463,12091029
26801463,4735181
26801463,5286738
26801463,5505548
26801463,5869441
26801463,6259021
26801463,6701573
26801463,7059729
26801463,7211949
26801463,7604260
26801463,7879613
26801463,7927786
26801463,8038653
26801463,8101227
26801463,8547596
26801463,8943578
26801463,9462440
26801463,9488745
26818326,10336819
26818326,10354205
26818326,10362993
26818326,10448104
26818326,10533484
26818326,10925893
26818326,10998466
26818326,11084313
26818326,11257131
26818326,11571719
26818326,11571938
26818326,11770726
26818326,11809734
26818326,11932221
26818326,11976181
26818326,12159858
26818326,5090259
26818326,5732647
26818326,5769574
26818326,5796556
26818326,5826881
26818326,5956826
26818326,6119469
26818326,6244583
26818326,6290315
26818326,6311715
26818326,6476628
26818326,6501169
26818326,6554136
26818326,6664793
26818326,6773568
26818326,6903812
26818326,7050825
26818326,7053700
26818326,7076616
26818326,7080326
26818326,7106149
26818326,7120832
26818326,7216555
26818326,7253308
26818326,7261519
26818326,7303922
26818326,7427242
26818326,7543219
26818326,7572177
26818326,7572978
26818326,7680674
26818326,7928944
26818326,7994954
26818326,8176328
26818326,8191754
26818326,8295511
26818326,8595838
26818326,8904272
26818326,8972112
26818326,8984723
26818326,8991553
26818326,8991616
26818326,9019636
26818326,9191794
26818326,9381174
26818326,9492791
26818326,9574999
26818326,9592092
26818326,9608288
26818326,9608298
26818326,9712174
26818326,9980324
26819159,5932876
26819159,6368841
26819159,6495205
26819159,6768108
